City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,keminmaa,65.8596,24.8228,290.02,82,20,10.29,FI,1689613093
127,banda aceh,5.5577,95.3222,300.18,81,100,6.73,ID,1689613094
128,utrik,11.2278,169.8474,301.18,77,76,4.81,MH,1689613094
129,constantia,44.1833,28.65,301.53,61,0,6.08,RO,1689613094
130,tahara,34.6667,137.2667,301.12,50,0,0.99,JP,1689613095
131,codrington,-38.2667,141.9667,278.79,84,0,6.37,AU,1689613095
132,yeppoon,-23.1333,150.7333,291.03,79,90,7.21,AU,1689613095
133,lihue,21.9789,-159.3672,298.92,77,20,6.69,US,1689612878
134,hirara,24.8,125.2833,300.3,94,100,8.23,JP,1689613096
135,ghat,24.9647,10.1728,311.23,9,25,5.45,LY,1689613096
136,hilo,19.7297,-155.09,297.38,80,100,3.09,US,1689613018
137,winnemucca,40.973,-117.7357,304.06,21,88,4.2,US,1689613097
138,port blair,11.6667,92.75,302.17,84,100,5.14,IN,1689613098
139,alice springs,-23.7,133.8833,281.9,76,100,0.0,AU,1689613098
140,stephenville,32.2207,-98.2023,310.51,34,0,2.68,US,1689613099
141,mkushi,-13.6202,29.3939,288.19,47,0,2.97,ZM,1689613099
142,khandyga,62.6667,135.6,282.89,66,99,1.69,RU,1689613100
143,port lincoln,-34.7333,135.8667,283.83,80,0,4.53,AU,1689612936
144,la'ie,21.6477,-157.9253,300.13,79,38,1.79,US,1689613100
145,anna regina,7.2644,-58.5077,303.23,61,2,4.4,GY,1689613101
146,urzhum,57.1141,49.9996,293.18,70,97,3.11,RU,1689613101
147,ikalamavony,-21.15,46.5833,292.87,68,79,2.03,MG,1689613101
148,keflavik,64.0049,-22.5624,285.39,71,0,7.2,IS,1689613102
149,tura,25.5198,90.2201,296.91,97,40,1.09,IN,1689613086
150,ardakan,32.31,54.0175,311.47,7,88,3.95,IR,1689613103
151,maceio,-9.6658,-35.7353,299.84,78,75,5.66,BR,1689613021
152,luderitz,-26.6481,15.1594,293.5,40,0,2.25,,1689613103
153,ghadamis,30.1337,9.5007,314.5,6,6,6.58,LY,1689613104
154,kidal,18.4411,1.4078,308.21,27,56,5.42,ML,1689613104
155,rudbar,30.15,62.6,311.38,7,0,3.05,AF,1689613105
156,howard springs,-12.497,131.047,295.1,46,69,2.54,AU,1689613105
157,sungai penuh,-2.0833,101.3833,291.36,98,92,1.15,ID,1689613042
158,great falls,47.5002,-111.3008,300.81,35,0,5.14,US,1689612948
